,iv_rank,shap_rank,iv,mean_abs_shap
RevolvingUtilizationOfUnsecuredLines,1.0,1.0,1.1034743610003401,0.6618542419576487
NumberOfTime30-59DaysPastDueNotWorse,3.0,2.0,0.7624608186485017,0.314325177578735
age,5.0,3.0,0.26110177019965775,0.2759666450519299
NumberOfTimes90DaysLate,2.0,4.0,0.8663927203001592,0.19459976028975762
NumberOfOpenCreditLinesAndLoans,6.0,5.0,0.08114543022562594,0.17622633555070838
MonthlyIncome,7.0,6.0,0.07317579729723445,0.1390591558826749
NumberOfTime60-89DaysPastDueNotWorse,4.0,7.0,0.5960456386455267,0.12168108676877958
DebtRatio,8.0,8.0,0.05603543186829486,0.11474434558121341
NumberRealEstateLoansOrLines,9.0,9.0,0.05591312322057495,0.08119731479415837
NumberOfDependents,10.0,10.0,0.03518320836463444,0.029671155613302413
util_extreme_flag,11.0,11.0,0.0031637107810858116,0.0015986224594718374
