fold,model,roc_auc,pr_auc,ks,brier,n,event_rate,chosen_C,chosen_num_leaves,chosen_min_child_samples,chosen_n_estimators
0,lr_woe,0.8599083533352723,0.3750002998615229,0.5629485404189116,0.05056685332584376,24000,0.06683333333333333,0.1,,,
0,lgbm_mono,0.8687323762837948,0.39112930748665015,0.5859051914774592,0.04932353130852594,24000,0.06683333333333333,,15.0,20.0,120.0
1,lr_woe,0.849771125521613,0.3584451031204763,0.5398643950937088,0.051423495285578706,24000,0.06683333333333333,0.1,,,
1,lgbm_mono,0.8592203714459165,0.3782977807955267,0.5639766230075819,0.05025056179136397,24000,0.06683333333333333,,63.0,100.0,93.0
2,lr_woe,0.8645047443456015,0.39936695310531256,0.5738465721746714,0.04927248220980325,24000,0.06683333333333333,0.1,,,
2,lgbm_mono,0.8729075073078154,0.41997581966088643,0.589545291976346,0.04817969511860523,24000,0.06683333333333333,,31.0,100.0,116.0
3,lr_woe,0.8553384633166147,0.3711219452481598,0.5526533505493276,0.05063484683143408,24000,0.06683333333333333,0.1,,,
3,lgbm_mono,0.8640262372065906,0.39069739870439363,0.5602660387787453,0.04968078952662723,24000,0.06683333333333333,,31.0,100.0,104.0
4,lr_woe,0.8502263453054372,0.3675763020043109,0.5426570099717686,0.05078794973339216,24000,0.066875,0.1,,,
4,lgbm_mono,0.8621582198407383,0.40360044651799615,0.5748992703227732,0.049201675965194716,24000,0.066875,,31.0,100.0,120.0
