feature,bin,events,n,non_events,woe,event_rate,iv_contrib
RevolvingUtilizationOfUnsecuredLines,0,335,15000,14665,1.1418457141579872,0.022333333333333334,0.10180124190270698
RevolvingUtilizationOfUnsecuredLines,1,208,15000,14792,1.626151128267881,0.013866666666666666,0.17255843298055804
RevolvingUtilizationOfUnsecuredLines,2,249,15000,14751,1.4438557312769575,0.0166,0.14530888053878843
RevolvingUtilizationOfUnsecuredLines,3,336,15000,14664,1.1388013319179184,0.0224,0.10137774391743541
RevolvingUtilizationOfUnsecuredLines,4,550,15000,14450,0.631871933811218,0.03666666666666667,0.03819272645297617
RevolvingUtilizationOfUnsecuredLines,5,976,15000,14024,0.028800923770666967,0.06506666666666666,0.00010240215427007131
RevolvingUtilizationOfUnsecuredLines,6,1988,15000,13012,-0.7572555567686329,0.13253333333333334,0.09964535700210281
RevolvingUtilizationOfUnsecuredLines,7,3379,15000,11621,-1.4006563437300388,0.22526666666666667,0.444487576051502
age,0,1552,13607,12055,-0.5860731141292712,0.11405894025134122,0.050280172792524516
age,1,1365,14483,13118,-0.3732247808625813,0.09424842919284679,0.019780331075545894
age,2,1371,15864,14493,-0.27793232497924275,0.08642208774583963,0.011525148164525439
age,3,1160,15009,13849,-0.1563293824762196,0.07728696115663936,0.0032715225829427134
age,4,976,14255,13279,-0.02572554524004034,0.06846720448965275,7.949779252008768e-05
age,5,791,16352,15561,0.3428977481507929,0.048373287671232876,0.013832254338211274
age,6,448,14825,14377,0.8317835154465384,0.03021922428330523,0.06030853170784937
age,7,358,15604,15246,1.1144490208156046,0.02294283517046911,0.10194913668845715
age,__MISSING__,0,1,1,-1.5371152779744104,0.0,7.517505708132141e-05
NumberOfTime30-59DaysPastDueNotWorse,0,4022,100816,96794,0.5447276311791919,0.03989446119663546,0.1977576848810241
NumberOfTime30-59DaysPastDueNotWorse,1,1930,12816,10886,-0.9062144906348234,0.15059300873907616,0.1299409808794272
NumberOfTime30-59DaysPastDueNotWorse,2,983,3672,2689,-1.6299659995387223,0.2677015250544662,0.16064956104402572
NumberOfTime30-59DaysPastDueNotWorse,3,961,2467,1506,-2.186909149881384,0.3895419537900284,0.23264857449980972
NumberOfTime30-59DaysPastDueNotWorse,__MISSING__,125,229,104,-2.819077630589879,0.5458515283842795,0.04146401734421492
DebtRatio,0,872,15000,14128,0.14880125381028728,0.058133333333333335,0.0025956489343484128
DebtRatio,1,938,15000,14062,0.07119869787610061,0.06253333333333333,0.000614448751587559
DebtRatio,2,837,15000,14163,0.19221684310287787,0.0558,0.004251384556213719
DebtRatio,3,846,15000,14154,0.18089226709747172,0.0564,0.0037835035409192544
DebtRatio,4,1004,14999,13995,-0.0015394609423694807,0.06693779585305687,2.9642034130941856e-07
DebtRatio,5,1467,15001,13534,-0.4141036966436984,0.09779348043463769,0.025676064269699105
DebtRatio,6,1288,15000,13712,-0.270956330553046,0.08586666666666666,0.010325908817536882
DebtRatio,7,769,15000,14231,0.2816867383087952,0.05126666666666667,0.008788176577648622
MonthlyIncome,0,1036,12017,10981,-0.2753651807635475,0.08621120079886826,0.008560353848306654
MonthlyIncome,1,1172,11837,10665,-0.42785155483108217,0.09901157387851652,0.021758436464809718
MonthlyIncome,2,984,12196,11212,-0.20307695835464887,0.08068219088225648,0.004578395764436803
MonthlyIncome,3,882,11887,11005,-0.11233592862781337,0.07419870446706486,0.0013125470145286056
MonthlyIncome,4,818,11930,11112,-0.027375083631549765,0.06856663872590109,7.539223718283599e-05
MonthlyIncome,5,658,12237,11579,0.23129948447601953,0.05377134918689221,0.0049388601453802935
MonthlyIncome,6,577,12018,11441,0.35056636618110976,0.04801131635879514,0.010591720717293914
MonthlyIncome,7,528,12018,11490,0.44350551404414806,0.04393409885172242,0.016301609144004844
MonthlyIncome,__MISSING__,1366,23860,22494,0.1652905418560113,0.05725062866722548,0.005058481961290777
NumberOfOpenCreditLinesAndLoans,0,1334,10421,9087,-0.7174422520469158,0.1280107475290279,0.06108455755630405
NumberOfOpenCreditLinesAndLoans,1,1134,16434,15300,-0.03409192267889052,0.06900328587075576,0.00016154016172645517
NumberOfOpenCreditLinesAndLoans,2,664,10377,9713,0.046451666281423463,0.06398766502842826,0.00018288514678806023
NumberOfOpenCreditLinesAndLoans,3,1191,21581,20390,0.20407068350936083,0.05518743339048237,0.006859255132663028
NumberOfOpenCreditLinesAndLoans,4,496,10110,9614,0.3276587660613027,0.049060336300692384,0.007859754937999562
NumberOfOpenCreditLinesAndLoans,5,998,16806,15808,0.12626349114211938,0.05938355349280019,0.002114291353112267
NumberOfOpenCreditLinesAndLoans,6,979,16704,15725,0.14021123513682057,0.05860871647509579,0.0025758893226959746
NumberOfOpenCreditLinesAndLoans,7,1225,17567,16342,-0.04536525252539463,0.06973302214379234,0.0003072566143365468
NumberOfTimes90DaysLate,0,5260,113323,108063,0.38653399461557164,0.04641599675264509,0.11958415183447658
NumberOfTimes90DaysLate,1,1398,4185,2787,-1.946214040296546,0.3340501792114695,0.29077992346887216
NumberOfTimes90DaysLate,2,615,1240,625,-2.6198425591404484,0.4959677419354839,0.1863400063766157
NumberOfTimes90DaysLate,3,623,1023,400,-3.0785939420345834,0.6089931573802542,0.2282246212759799
